x,y,z,class,sound_path
-1.1321745,-2.6777403,6.3675632,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_139.5-144.0.wav
-0.6242604,-2.56347,6.6724553,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_144.0-148.5.wav
-0.6164217,-2.561217,6.676098,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_148.5-153.0.wav
-0.6642899,-2.5269885,6.6299167,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_153.0-157.5.wav
-0.8094387,-2.1418219,5.952147,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_157.5-162.0.wav
-0.58253896,-2.581205,6.7206955,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_162.0-166.5.wav
-0.5840975,-2.5764446,6.7106023,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_166.5-171.0.wav
-0.5814203,-2.5775414,6.7108817,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_171.0-175.5.wav
-0.59233916,-2.5758176,6.7050085,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_175.5-180.0.wav
-0.2830907,-2.2951674,5.626583,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_18.0-22.5.wav
-1.2701327,-2.0016656,5.5563674,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_180.0-184.5.wav
-1.672009,-2.2566485,5.900797,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_184.5-189.0.wav
-0.1914821,-2.3415625,5.5917253,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_189.0-193.5.wav
-1.1636314,-2.133946,5.6298456,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_193.5-198.0.wav
-1.3726097,-2.1250582,5.978004,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_198.0-202.5.wav
-0.8672751,-2.1420553,5.9001827,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_202.5-207.0.wav
-1.4040627,-2.1807752,6.0688477,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_207.0-211.5.wav
-1.3924189,-2.170016,6.0653553,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_211.5-216.0.wav
-1.6849699,-2.4932034,5.8774447,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_216.0-220.5.wav
-0.6541254,-2.199279,5.7218385,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_22.5-27.0.wav
-1.7079809,-2.3647766,5.848612,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_220.5-225.0.wav
-1.2819949,-1.993158,5.730292,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_225.0-229.5.wav
-1.6776524,-2.3804388,5.8254023,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_229.5-234.0.wav
-1.4136525,-2.0581424,5.7837534,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_234.0-238.5.wav
-1.3799565,-2.591053,6.0770197,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_238.5-243.0.wav
-1.418897,-2.0676696,5.761307,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_243.0-247.5.wav
-1.5846905,-2.0716734,5.7798142,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_247.5-252.0.wav
-1.6119814,-2.2055094,5.9356036,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_252.0-256.5.wav
-1.3195444,-2.575677,6.0685115,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_256.5-261.0.wav
-1.6345134,-2.1991425,5.9313617,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_261.0-265.5.wav
-1.3195983,-2.4273922,6.11182,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_265.5-270.0.wav
-1.2245643,-2.0077631,5.864545,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_27.0-31.5.wav
